Date,qty_ordered
2021-03-27,2
2021-03-28,1
2021-04-01,2
2021-04-05,2
2021-04-07,2
2021-04-07,2
2021-04-07,2
2021-04-08,1
2021-04-09,2
2021-04-09,2
2021-04-09,2
2021-04-09,2
2021-04-09,2
2021-04-09,2
2021-04-09,2
2021-04-17,2
2021-08-19,2
2021-08-21,2
2021-09-15,2
2021-09-16,1
2020-10-01,2
2020-10-10,2
2020-10-10,2
2020-10-18,2
2020-10-24,2
2021-03-02,2
2021-09-16,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2021-01-02,2
2021-01-02,2
2021-01-02,2
2021-01-02,2
2021-01-07,2
2021-01-07,2
2021-01-07,2
2021-01-07,2
2021-01-07,2
2021-01-07,2
2021-01-14,2
2020-10-01,2
2020-10-01,2
2020-11-09,2
2020-11-23,2
2020-11-25,2
2020-11-25,2
2020-11-25,2
2020-12-02,2
2020-12-02,2
2020-12-10,2
2020-12-10,2
2021-02-05,2
2021-02-05,2
2020-10-01,2
2021-02-01,3
2021-05-28,2
2021-05-28,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-03,2
2020-10-03,2
2020-10-03,2
2020-10-03,2
2020-10-03,2
2020-10-08,2
2020-10-08,2
2020-10-08,2
2020-10-11,2
2020-10-19,2
2020-10-23,2
2020-10-23,2
2020-10-29,2
2021-08-06,2
2021-08-06,2
2021-08-06,2
2020-10-01,2
2020-10-09,2
2020-10-10,2
2020-10-11,2
2020-10-14,2
2020-10-16,2
2020-10-16,2
2020-10-21,2
2020-10-24,2
2020-10-26,2
2020-10-28,2
2020-10-28,2
2020-10-28,2
2020-10-28,2
2020-10-28,2
2020-10-29,2
2020-10-31,2
2020-11-04,2
2020-11-06,2
2020-11-06,2
2020-11-06,2
2020-11-06,2
2020-11-06,2
2020-11-06,2
2020-11-06,2
2020-11-06,2
2020-11-07,2
2020-11-09,2
2020-11-09,2
2020-11-09,2
2020-11-11,2
